pheno	meanratio	sdratio	meanr2	sdr2	meanmddr2	sdmddr2	lower	upper
92	financehappiness.baseline	0.101940609628914	0.0237451368914988	0.0013684256	0.000479421405660847	0.013320245	0.00298567370798638	0.0554001413215759	0.148481077936251
93	freqtravelwork.baseline	0.016384958562137	0.00882790059084704	0.00020874723	9.46997929192626e-05	0.013320245	0.00298567370798638	-0.000917726595923173	0.0336876437201972
94	friendhappiness.baseline	0.127155091838106	0.0710127836677385	0.0015296626	0.000612253029875757	0.013320245	0.00298567370798638	-0.0120299641506617	0.266340147826873
95	getupmorning.baseline	0.0826150857059439	0.0207265672713684	0.0010704	0.000262412697390537	0.013320245	0.00298567370798638	0.0419910138540619	0.123239157557826
96	happiness.baseline	0.200094426558892	0.0794482726459287	0.002509664	0.000793050343129475	0.013320245	0.00298567370798638	0.0443758121728722	0.355813040944913
97	healthhappiness.baseline	0.21547893136332	0.121768345737285	0.002684607	0.00126102002573798	0.013320245	0.00298567370798638	-0.023187026281758	0.454144889008398
98	homemaker.baseline	0.0319079486760809	0.0204399279200139	0.0004085249	0.000221115227391839	0.013320245	0.00298567370798638	-0.00815431004714627	0.0719702073993081
99	hoursjobweek.baseline	0.0168473883289033	0.0146315959287635	0.00020331628	0.000140837825189556	0.013320245	0.00298567370798638	-0.0118305396914731	0.0455253163492798
100	income.baseline	0.0504680417234267	0.0264015571441374	0.0006142195	0.000200964980706839	0.013320245	0.00298567370798638	-0.00127901027908255	0.102215093725936
101	insomnia.baseline	0.100090114528821	0.0312426801056974	0.0012804429	0.000276037761454016	0.013320245	0.00298567370798638	0.0388544615216546	0.161325767535988
102	jobsatisfaction.baseline	0.0951370331780247	0.0345091299142819	0.0012692771	0.000512824773069591	0.013320245	0.00298567370798638	0.0274991385460322	0.162774927810017
103	lefthanded.baseline	0.0199626532404457	0.0132831197062306	0.0002536211	0.000144340787182779	0.013320245	0.00298567370798638	-0.00607226138376623	0.0459975678646575
104	livew.children.baseline	0.015164439913643	0.00934707849043073	0.00019963563	0.000134110141782384	0.013320245	0.00298567370798638	-0.00315583392760125	0.0334847137548872
105	livew.grandchild.baseline	1.41777056817754	0.524976720624599	0.018701518	0.00866901503656147	0.013320245	0.00298567370798638	0.388816195753325	2.44672494060175
106	livew.grandparents.baseline	0.122503163767034	0.0992867461839469	0.0015881472	0.00128015750626734	0.013320245	0.00298567370798638	-0.0720988587535018	0.31710518628757
107	livew.otherrelated.baseline	0.108734796757144	0.0708783830252091	0.0013823261	0.000855376647049506	0.013320245	0.00298567370798638	-0.0301868339722658	0.247656427486554
108	livew.parents.baseline	0.0457306185261661	0.030551946310722	0.0005787798	0.000351257545918408	0.013320245	0.00298567370798638	-0.014151196242849	0.105612433295181
